,onetsoc_code,element_id,scale_id,data_value
157,11-1021.00,2.A.2.c_LV,LV,3.25
158,11-1021.00,2.A.2.d_IM,IM,4.0
159,11-1021.00,2.A.2.d_LV,LV,4.0
160,11-1021.00,2.B.1.a_IM,IM,4.0
161,11-1021.00,2.B.1.a_LV,LV,4.0
162,11-1021.00,2.B.1.b_IM,IM,4.0
163,11-1021.00,2.B.1.b_LV,LV,3.88
164,11-1021.00,2.B.1.c_IM,IM,3.38
165,11-1021.00,2.B.1.c_LV,LV,3.5
166,11-1021.00,2.B.1.d_IM,IM,3.62
167,11-1021.00,2.B.1.d_LV,LV,3.62
168,11-1021.00,2.B.1.e_IM,IM,3.12
169,11-1021.00,2.B.1.e_LV,LV,3.25
170,11-1021.00,2.B.1.f_IM,IM,3.25
171,11-1021.00,2.B.1.f_LV,LV,3.12
172,11-1021.00,2.B.2.i_IM,IM,3.5
173,11-1021.00,2.B.2.i_LV,LV,3.75
174,11-1021.00,2.B.3.a_IM,IM,2.75
175,11-1021.00,2.B.3.a_LV,LV,3.12
176,11-1021.00,2.B.3.b_IM,IM,1.88
177,11-1021.00,2.B.3.b_LV,LV,1.12
178,11-1021.00,2.B.3.c_IM,IM,1.0
179,11-1021.00,2.B.3.c_LV,LV,0.0
180,11-1021.00,2.B.3.d_IM,IM,1.0
181,11-1021.00,2.B.3.d_LV,LV,0.0
182,11-1021.00,2.B.3.e_IM,IM,1.5
183,11-1021.00,2.B.3.e_LV,LV,0.62
184,11-1021.00,2.B.3.g_IM,IM,2.75
185,11-1021.00,2.B.3.g_LV,LV,2.62
186,11-1021.00,2.B.3.h_IM,IM,2.0
187,11-1021.00,2.B.3.h_LV,LV,1.75
188,11-1021.00,2.B.3.j_IM,IM,1.0
189,11-1021.00,2.B.3.j_LV,LV,0.0
190,11-1021.00,2.B.3.k_IM,IM,2.0
191,11-1021.00,2.B.3.k_LV,LV,1.38
192,11-1021.00,2.B.3.l_IM,IM,1.0
193,11-1021.00,2.B.3.l_LV,LV,0.0
194,11-1021.00,2.B.3.m_IM,IM,2.38
195,11-1021.00,2.B.3.m_LV,LV,2.12
196,11-1021.00,2.B.4.e_IM,IM,3.5
197,11-1021.00,2.B.4.e_LV,LV,3.75
198,11-1021.00,2.B.4.g_IM,IM,3.0
199,11-1021.00,2.B.4.g_LV,LV,3.0
200,11-1021.00,2.B.4.h_IM,IM,3.0
201,11-1021.00,2.B.4.h_LV,LV,3.12
202,11-1021.00,2.B.5.a_IM,IM,3.75
203,11-1021.00,2.B.5.a_LV,LV,3.75
204,11-1021.00,2.B.5.b_IM,IM,3.12
205,11-1021.00,2.B.5.b_LV,LV,3.38
206,11-1021.00,2.B.5.c_IM,IM,3.25
207,11-1021.00,2.B.5.c_LV,LV,3.25
208,11-1021.00,2.B.5.d_IM,IM,3.5
209,11-1021.00,2.B.5.d_LV,LV,3.88
210,11-2011.00,2.A.1.a_IM,IM,3.75
211,11-2011.00,2.A.1.a_LV,LV,4.0
212,11-2011.00,2.A.1.b_IM,IM,4.12
213,11-2011.00,2.A.1.b_LV,LV,4.12
214,11-2011.00,2.A.1.c_IM,IM,3.75
215,11-2011.00,2.A.1.c_LV,LV,3.88
216,11-2011.00,2.A.1.d_IM,IM,4.0
217,11-2011.00,2.A.1.d_LV,LV,4.12
218,11-2011.00,2.A.1.e_IM,IM,3.0
219,11-2011.00,2.A.1.e_LV,LV,3.25
220,11-2011.00,2.A.1.f_IM,IM,1.62
221,11-2011.00,2.A.1.f_LV,LV,0.62
222,11-2011.00,2.A.2.a_IM,IM,4.0
223,11-2011.00,2.A.2.a_LV,LV,4.12
224,11-2011.00,2.A.2.b_IM,IM,3.25
225,11-2011.00,2.A.2.b_LV,LV,4.12
226,11-2011.00,2.A.2.c_IM,IM,3.0
227,11-2011.00,2.A.2.c_LV,LV,3.25
228,11-2011.00,2.A.2.d_IM,IM,3.25
229,11-2011.00,2.A.2.d_LV,LV,4.25
230,11-2011.00,2.B.1.a_IM,IM,4.0
231,11-2011.00,2.B.1.a_LV,LV,4.0
232,11-2011.00,2.B.1.b_IM,IM,3.5
233,11-2011.00,2.B.1.b_LV,LV,4.12
234,11-2011.00,2.B.1.c_IM,IM,3.38
235,11-2011.00,2.B.1.c_LV,LV,3.88
236,11-2011.00,2.B.1.d_IM,IM,3.12
237,11-2011.00,2.B.1.d_LV,LV,3.75
238,11-2011.00,2.B.1.e_IM,IM,2.88
239,11-2011.00,2.B.1.e_LV,LV,3.0
240,11-2011.00,2.B.1.f_IM,IM,3.12
241,11-2011.00,2.B.1.f_LV,LV,3.25
242,11-2011.00,2.B.2.i_IM,IM,3.5
243,11-2011.00,2.B.2.i_LV,LV,3.88
244,11-2011.00,2.B.3.a_IM,IM,2.75
245,11-2011.00,2.B.3.a_LV,LV,3.12
246,11-2011.00,2.B.3.b_IM,IM,1.75
247,11-2011.00,2.B.3.b_LV,LV,0.75
248,11-2011.00,2.B.3.c_IM,IM,1.12
249,11-2011.00,2.B.3.c_LV,LV,0.12
250,11-2011.00,2.B.3.d_IM,IM,1.0
251,11-2011.00,2.B.3.d_LV,LV,0.0
252,11-2011.00,2.B.3.e_IM,IM,1.75
253,11-2011.00,2.B.3.e_LV,LV,0.75
254,11-2011.00,2.B.3.g_IM,IM,1.62
255,11-2011.00,2.B.3.g_LV,LV,0.62
256,11-2011.00,2.B.3.h_IM,IM,1.0
257,11-2011.00,2.B.3.h_LV,LV,0.0
258,11-2011.00,2.B.3.j_IM,IM,1.0
259,11-2011.00,2.B.3.j_LV,LV,0.0
260,11-2011.00,2.B.3.k_IM,IM,1.0
261,11-2011.00,2.B.3.k_LV,LV,0.0
262,11-2011.00,2.B.3.l_IM,IM,1.0
263,11-2011.00,2.B.3.l_LV,LV,0.0
264,11-2011.00,2.B.3.m_IM,IM,1.62
265,11-2011.00,2.B.3.m_LV,LV,1.0
266,11-2011.00,2.B.4.e_IM,IM,3.75
267,11-2011.00,2.B.4.e_LV,LV,4.0
268,11-2011.00,2.B.4.g_IM,IM,3.12
269,11-2011.00,2.B.4.g_LV,LV,3.12
270,11-2011.00,2.B.4.h_IM,IM,3.12
271,11-2011.00,2.B.4.h_LV,LV,3.75
272,11-2011.00,2.B.5.a_IM,IM,3.5
273,11-2011.00,2.B.5.a_LV,LV,3.88
274,11-2011.00,2.B.5.b_IM,IM,2.75
275,11-2011.00,2.B.5.b_LV,LV,3.62
276,11-2011.00,2.B.5.c_IM,IM,2.62
277,11-2011.00,2.B.5.c_LV,LV,2.62
278,11-2011.00,2.B.5.d_IM,IM,3.12
279,11-2011.00,2.B.5.d_LV,LV,3.88
280,11-2021.00,2.A.1.a_IM,IM,3.88
281,11-2021.00,2.A.1.a_LV,LV,4.25
282,11-2021.00,2.A.1.b_IM,IM,3.88
283,11-2021.00,2.A.1.b_LV,LV,4.12
284,11-2021.00,2.A.1.c_IM,IM,3.25
285,11-2021.00,2.A.1.c_LV,LV,3.88
286,11-2021.00,2.A.1.d_IM,IM,3.88
287,11-2021.00,2.A.1.d_LV,LV,4.12
288,11-2021.00,2.A.1.e_IM,IM,2.75
289,11-2021.00,2.A.1.e_LV,LV,3.12
290,11-2021.00,2.A.1.f_IM,IM,1.75
291,11-2021.00,2.A.1.f_LV,LV,1.5
292,11-2021.00,2.A.2.a_IM,IM,3.88
293,11-2021.00,2.A.2.a_LV,LV,4.25
294,11-2021.00,2.A.2.b_IM,IM,3.88
295,11-2021.00,2.A.2.b_LV,LV,4.12
296,11-2021.00,2.A.2.c_IM,IM,3.12
297,11-2021.00,2.A.2.c_LV,LV,3.5
298,11-2021.00,2.A.2.d_IM,IM,3.75
299,11-2021.00,2.A.2.d_LV,LV,4.25
300,11-2021.00,2.B.1.a_IM,IM,3.88
301,11-2021.00,2.B.1.a_LV,LV,4.0
302,11-2021.00,2.B.1.b_IM,IM,3.5
303,11-2021.00,2.B.1.b_LV,LV,3.75
304,11-2021.00,2.B.1.c_IM,IM,3.75
305,11-2021.00,2.B.1.c_LV,LV,4.38
306,11-2021.00,2.B.1.d_IM,IM,3.62
307,11-2021.00,2.B.1.d_LV,LV,3.88
308,11-2021.00,2.B.1.e_IM,IM,3.0
309,11-2021.00,2.B.1.e_LV,LV,3.5
310,11-2021.00,2.B.1.f_IM,IM,3.12
311,11-2021.00,2.B.1.f_LV,LV,3.25
312,11-2021.00,2.B.2.i_IM,IM,3.62
313,11-2021.00,2.B.2.i_LV,LV,3.88
314,11-2021.00,2.B.3.a_IM,IM,3.38
315,11-2021.00,2.B.3.a_LV,LV,3.62
316,11-2021.00,2.B.3.b_IM,IM,1.75
317,11-2021.00,2.B.3.b_LV,LV,0.88
318,11-2021.00,2.B.3.c_IM,IM,1.0
319,11-2021.00,2.B.3.c_LV,LV,0.0
320,11-2021.00,2.B.3.d_IM,IM,1.0
321,11-2021.00,2.B.3.d_LV,LV,0.0
322,11-2021.00,2.B.3.e_IM,IM,1.88
323,11-2021.00,2.B.3.e_LV,LV,1.25
324,11-2021.00,2.B.3.g_IM,IM,1.75
325,11-2021.00,2.B.3.g_LV,LV,1.25
326,11-2021.00,2.B.3.h_IM,IM,1.0
327,11-2021.00,2.B.3.h_LV,LV,0.0
328,11-2021.00,2.B.3.j_IM,IM,1.0
329,11-2021.00,2.B.3.j_LV,LV,0.0
330,11-2021.00,2.B.3.k_IM,IM,1.0
331,11-2021.00,2.B.3.k_LV,LV,0.0
332,11-2021.00,2.B.3.l_IM,IM,1.0
333,11-2021.00,2.B.3.l_LV,LV,0.0
334,11-2021.00,2.B.3.m_IM,IM,1.88
335,11-2021.00,2.B.3.m_LV,LV,1.38
336,11-2021.00,2.B.4.e_IM,IM,3.75
337,11-2021.00,2.B.4.e_LV,LV,4.0
338,11-2021.00,2.B.4.g_IM,IM,3.25
339,11-2021.00,2.B.4.g_LV,LV,3.75
340,11-2021.00,2.B.4.h_IM,IM,3.5
341,11-2021.00,2.B.4.h_LV,LV,3.75
342,11-2021.00,2.B.5.a_IM,IM,3.5
343,11-2021.00,2.B.5.a_LV,LV,3.75
344,11-2021.00,2.B.5.b_IM,IM,2.88
345,11-2021.00,2.B.5.b_LV,LV,3.75
346,11-2021.00,2.B.5.c_IM,IM,2.62
347,11-2021.00,2.B.5.c_LV,LV,2.75
348,11-2021.00,2.B.5.d_IM,IM,3.38
349,11-2021.00,2.B.5.d_LV,LV,3.88
350,11-2022.00,2.A.1.a_IM,IM,3.88
351,11-2022.00,2.A.1.a_LV,LV,4.0
352,11-2022.00,2.A.1.b_IM,IM,4.0
353,11-2022.00,2.A.1.b_LV,LV,4.0
354,11-2022.00,2.A.1.c_IM,IM,3.62
355,11-2022.00,2.A.1.c_LV,LV,4.0
356,11-2022.00,2.A.1.d_IM,IM,4.0
357,11-2022.00,2.A.1.d_LV,LV,4.12
358,11-2022.00,2.A.1.e_IM,IM,3.0
359,11-2022.00,2.A.1.e_LV,LV,3.25
360,11-2022.00,2.A.1.f_IM,IM,1.62
361,11-2022.00,2.A.1.f_LV,LV,0.62
362,11-2022.00,2.A.2.a_IM,IM,3.88
363,11-2022.00,2.A.2.a_LV,LV,4.0
364,11-2022.00,2.A.2.b_IM,IM,3.75
365,11-2022.00,2.A.2.b_LV,LV,3.88
366,11-2022.00,2.A.2.c_IM,IM,3.25
367,11-2022.00,2.A.2.c_LV,LV,3.75
368,11-2022.00,2.A.2.d_IM,IM,3.75
369,11-2022.00,2.A.2.d_LV,LV,4.75
370,11-2022.00,2.B.1.a_IM,IM,3.88
371,11-2022.00,2.B.1.a_LV,LV,4.12
372,11-2022.00,2.B.1.b_IM,IM,3.88
373,11-2022.00,2.B.1.b_LV,LV,4.12
374,11-2022.00,2.B.1.c_IM,IM,4.12
375,11-2022.00,2.B.1.c_LV,LV,4.38
376,11-2022.00,2.B.1.d_IM,IM,3.88
377,11-2022.00,2.B.1.d_LV,LV,3.88
378,11-2022.00,2.B.1.e_IM,IM,3.62
379,11-2022.00,2.B.1.e_LV,LV,3.62
380,11-2022.00,2.B.1.f_IM,IM,3.88
381,11-2022.00,2.B.1.f_LV,LV,3.88
382,11-2022.00,2.B.2.i_IM,IM,3.75
383,11-2022.00,2.B.2.i_LV,LV,3.88
384,11-2022.00,2.B.3.a_IM,IM,2.62
385,11-2022.00,2.B.3.a_LV,LV,2.88
386,11-2022.00,2.B.3.b_IM,IM,1.75
387,11-2022.00,2.B.3.b_LV,LV,0.88
388,11-2022.00,2.B.3.c_IM,IM,1.0
389,11-2022.00,2.B.3.c_LV,LV,0.0
390,11-2022.00,2.B.3.d_IM,IM,1.0
391,11-2022.00,2.B.3.d_LV,LV,0.0
392,11-2022.00,2.B.3.e_IM,IM,1.62
393,11-2022.00,2.B.3.e_LV,LV,0.88
394,11-2022.00,2.B.3.g_IM,IM,1.75
395,11-2022.00,2.B.3.g_LV,LV,1.75
396,11-2022.00,2.B.3.h_IM,IM,1.75
397,11-2022.00,2.B.3.h_LV,LV,1.25
398,11-2022.00,2.B.3.j_IM,IM,1.0
399,11-2022.00,2.B.3.j_LV,LV,0.0
400,11-2022.00,2.B.3.k_IM,IM,1.0
401,11-2022.00,2.B.3.k_LV,LV,0.0
402,11-2022.00,2.B.3.l_IM,IM,1.0
403,11-2022.00,2.B.3.l_LV,LV,0.0
404,11-2022.00,2.B.3.m_IM,IM,1.75
405,11-2022.00,2.B.3.m_LV,LV,1.38
406,11-2022.00,2.B.4.e_IM,IM,3.75
407,11-2022.00,2.B.4.e_LV,LV,4.0
408,11-2022.00,2.B.4.g_IM,IM,3.62
409,11-2022.00,2.B.4.g_LV,LV,3.75
410,11-2022.00,2.B.4.h_IM,IM,3.62
411,11-2022.00,2.B.4.h_LV,LV,3.88
412,11-2022.00,2.B.5.a_IM,IM,3.5
413,11-2022.00,2.B.5.a_LV,LV,3.88
414,11-2022.00,2.B.5.b_IM,IM,3.0
415,11-2022.00,2.B.5.b_LV,LV,3.62
416,11-2022.00,2.B.5.c_IM,IM,2.88
417,11-2022.00,2.B.5.c_LV,LV,3.0
418,11-2022.00,2.B.5.d_IM,IM,3.75
419,11-2022.00,2.B.5.d_LV,LV,4.0
420,11-2031.00,2.A.1.a_IM,IM,4.0
421,11-2031.00,2.A.1.a_LV,LV,4.25
422,11-2031.00,2.A.1.b_IM,IM,4.0
423,11-2031.00,2.A.1.b_LV,LV,4.12
424,11-2031.00,2.A.1.c_IM,IM,4.0
425,11-2031.00,2.A.1.c_LV,LV,4.38
