,onetsoc_code,element_id,scale_id,data_value
198,11-1021.00,2.C.10_LV,LV,2.31
199,11-2011.00,2.C.1.a_IM,IM,4.12
200,11-2011.00,2.C.1.a_LV,LV,4.41
201,11-2011.00,2.C.1.b_IM,IM,3.25
202,11-2011.00,2.C.1.b_LV,LV,4.34
203,11-2011.00,2.C.1.c_IM,IM,3.04
204,11-2011.00,2.C.1.c_LV,LV,2.94
205,11-2011.00,2.C.1.d_IM,IM,4.68
206,11-2011.00,2.C.1.d_LV,LV,5.58
207,11-2011.00,2.C.1.e_IM,IM,4.16
208,11-2011.00,2.C.1.e_LV,LV,5.39
209,11-2011.00,2.C.1.f_IM,IM,2.6
210,11-2011.00,2.C.1.f_LV,LV,3.08
211,11-2011.00,2.C.2.a_IM,IM,2.58
212,11-2011.00,2.C.2.a_LV,LV,2.68
213,11-2011.00,2.C.2.b_IM,IM,1.04
214,11-2011.00,2.C.2.b_LV,LV,0.08
215,11-2011.00,2.C.3.a_IM,IM,3.31
216,11-2011.00,2.C.3.a_LV,LV,4.17
217,11-2011.00,2.C.3.b_IM,IM,1.9100000000000001
218,11-2011.00,2.C.3.b_LV,LV,1.57
219,11-2011.00,2.C.3.c_IM,IM,2.79
220,11-2011.00,2.C.3.c_LV,LV,2.92
221,11-2011.00,2.C.3.d_IM,IM,1.44
222,11-2011.00,2.C.3.d_LV,LV,0.64
223,11-2011.00,2.C.3.e_IM,IM,1.4100000000000001
224,11-2011.00,2.C.3.e_LV,LV,0.67
225,11-2011.00,2.C.4.a_IM,IM,3.16
226,11-2011.00,2.C.4.a_LV,LV,3.55
227,11-2011.00,2.C.4.b_IM,IM,1.34
228,11-2011.00,2.C.4.b_LV,LV,0.49
229,11-2011.00,2.C.4.c_IM,IM,1.22
230,11-2011.00,2.C.4.c_LV,LV,0.37
231,11-2011.00,2.C.4.d_IM,IM,1.23
232,11-2011.00,2.C.4.d_LV,LV,0.45
233,11-2011.00,2.C.4.e_IM,IM,2.87
234,11-2011.00,2.C.4.e_LV,LV,2.74
235,11-2011.00,2.C.4.f_IM,IM,2.5
236,11-2011.00,2.C.4.f_LV,LV,2.77
237,11-2011.00,2.C.4.g_IM,IM,1.99
238,11-2011.00,2.C.4.g_LV,LV,2.07
239,11-2011.00,2.C.5.a_IM,IM,1.42
240,11-2011.00,2.C.5.a_LV,LV,0.48
241,11-2011.00,2.C.5.b_IM,IM,1.75
242,11-2011.00,2.C.5.b_LV,LV,1.42
