,onetsoc_code,element_id,scale_id,data_value
168,11-1021.00,4.A.1.b.1_IM,IM,4.14
169,11-1021.00,4.A.1.b.1_LV,LV,4.17
170,11-1021.00,4.A.1.b.2_IM,IM,3.43
171,11-1021.00,4.A.1.b.2_LV,LV,3.14
172,11-1021.00,4.A.1.b.3_IM,IM,3.58
173,11-1021.00,4.A.1.b.3_LV,LV,3.51
174,11-1021.00,4.A.2.a.1_IM,IM,4.06
175,11-1021.00,4.A.2.a.1_LV,LV,4.43
176,11-1021.00,4.A.2.a.2_IM,IM,3.96
177,11-1021.00,4.A.2.a.2_LV,LV,4.14
178,11-1021.00,4.A.2.a.3_IM,IM,4.01
179,11-1021.00,4.A.2.a.3_LV,LV,4.06
180,11-1021.00,4.A.2.a.4_IM,IM,3.71
181,11-1021.00,4.A.2.a.4_LV,LV,3.64
182,11-1021.00,4.A.2.b.1_IM,IM,4.42
183,11-1021.00,4.A.2.b.1_LV,LV,4.48
184,11-1021.00,4.A.2.b.2_IM,IM,3.32
185,11-1021.00,4.A.2.b.2_LV,LV,3.7800000000000002
186,11-1021.00,4.A.2.b.3_IM,IM,3.63
187,11-1021.00,4.A.2.b.3_LV,LV,4.53
188,11-1021.00,4.A.2.b.4_IM,IM,3.7199999999999998
189,11-1021.00,4.A.2.b.4_LV,LV,3.77
190,11-1021.00,4.A.2.b.5_IM,IM,3.9699999999999998
191,11-1021.00,4.A.2.b.5_LV,LV,4.26
192,11-1021.00,4.A.2.b.6_IM,IM,4.03
193,11-1021.00,4.A.2.b.6_LV,LV,5.11
194,11-1021.00,4.A.3.a.1_IM,IM,2.71
195,11-1021.00,4.A.3.a.1_LV,LV,2.75
196,11-1021.00,4.A.3.a.2_IM,IM,2.49
197,11-1021.00,4.A.3.a.2_LV,LV,3.36
198,11-1021.00,4.A.3.a.3_IM,IM,2.69
199,11-1021.00,4.A.3.a.3_LV,LV,2.48
200,11-1021.00,4.A.3.a.4_IM,IM,2.4
201,11-1021.00,4.A.3.a.4_LV,LV,2.06
202,11-1021.00,4.A.3.b.1_IM,IM,4.15
203,11-1021.00,4.A.3.b.1_LV,LV,3.65
204,11-1021.00,4.A.3.b.2_IM,IM,2.18
205,11-1021.00,4.A.3.b.2_LV,LV,1.92
206,11-1021.00,4.A.3.b.4_IM,IM,2.24
207,11-1021.00,4.A.3.b.4_LV,LV,2.1
208,11-1021.00,4.A.3.b.5_IM,IM,1.94
209,11-1021.00,4.A.3.b.5_LV,LV,1.71
210,11-1021.00,4.A.3.b.6_IM,IM,3.64
211,11-1021.00,4.A.3.b.6_LV,LV,3.2800000000000002
212,11-1021.00,4.A.4.a.1_IM,IM,3.52
213,11-1021.00,4.A.4.a.1_LV,LV,3.07
214,11-1021.00,4.A.4.a.2_IM,IM,4.33
215,11-1021.00,4.A.4.a.2_LV,LV,4.46
216,11-1021.00,4.A.4.a.3_IM,IM,3.92
217,11-1021.00,4.A.4.a.3_LV,LV,4.07
218,11-1021.00,4.A.4.a.4_IM,IM,3.94
219,11-1021.00,4.A.4.a.4_LV,LV,4.9
220,11-1021.00,4.A.4.a.5_IM,IM,2.94
221,11-1021.00,4.A.4.a.5_LV,LV,2.95
222,11-1021.00,4.A.4.a.6_IM,IM,3.6
223,11-1021.00,4.A.4.a.6_LV,LV,3.24
224,11-1021.00,4.A.4.a.7_IM,IM,3.91
225,11-1021.00,4.A.4.a.7_LV,LV,4.4
226,11-1021.00,4.A.4.a.8_IM,IM,3.85
227,11-1021.00,4.A.4.a.8_LV,LV,4.16
228,11-1021.00,4.A.4.b.1_IM,IM,4.24
229,11-1021.00,4.A.4.b.1_LV,LV,4.49
230,11-1021.00,4.A.4.b.2_IM,IM,3.98
231,11-1021.00,4.A.4.b.2_LV,LV,3.47
232,11-1021.00,4.A.4.b.3_IM,IM,3.94
233,11-1021.00,4.A.4.b.3_LV,LV,3.6
234,11-1021.00,4.A.4.b.4_IM,IM,4.15
235,11-1021.00,4.A.4.b.4_LV,LV,4.79
236,11-1021.00,4.A.4.b.5_IM,IM,3.93
237,11-1021.00,4.A.4.b.5_LV,LV,4.33
238,11-1021.00,4.A.4.b.6_IM,IM,3.17
239,11-1021.00,4.A.4.b.6_LV,LV,4.8
240,11-1021.00,4.A.4.c.1_IM,IM,3.49
241,11-1021.00,4.A.4.c.1_LV,LV,3.25
242,11-1021.00,4.A.4.c.2_IM,IM,3.46
243,11-1021.00,4.A.4.c.2_LV,LV,3.9699999999999998
244,11-1021.00,4.A.4.c.3_IM,IM,3.81
245,11-1021.00,4.A.4.c.3_LV,LV,4.57
246,11-2011.00,4.A.1.a.1_IM,IM,4.32
247,11-2011.00,4.A.1.a.1_LV,LV,4.67
248,11-2011.00,4.A.1.a.2_IM,IM,2.7800000000000002
249,11-2011.00,4.A.1.a.2_LV,LV,3.08
250,11-2011.00,4.A.1.b.1_IM,IM,3.6
251,11-2011.00,4.A.1.b.1_LV,LV,3.88
252,11-2011.00,4.A.1.b.2_IM,IM,1.77
253,11-2011.00,4.A.1.b.2_LV,LV,1.08
254,11-2011.00,4.A.1.b.3_IM,IM,2.79
255,11-2011.00,4.A.1.b.3_LV,LV,2.58
256,11-2011.00,4.A.2.a.1_IM,IM,3.37
257,11-2011.00,4.A.2.a.1_LV,LV,3.66
258,11-2011.00,4.A.2.a.2_IM,IM,3.51
259,11-2011.00,4.A.2.a.2_LV,LV,4.12
260,11-2011.00,4.A.2.a.3_IM,IM,2.35
261,11-2011.00,4.A.2.a.3_LV,LV,2.04
262,11-2011.00,4.A.2.a.4_IM,IM,3.26
263,11-2011.00,4.A.2.a.4_LV,LV,4.06
